unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
12263863,JE105503,06/01/2021 21:30:00,0000X E WACKER DR,0265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,HOTEL / MOTEL,FALSE,TRUE,111,1,42,32,02,1177009,1902589,2021,16/01/2021 15:39:23,"41,88804596","-87,62541383","(41.888045958, -87.625413826)"
11460366,JB453952,28/09/2018 05:37:00,0000X E WACKER DR,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,HOTEL/MOTEL,FALSE,FALSE,111,1,42,32,02,1177009,1902589,2018,05/10/2018 15:59:12,"41,88804596","-87,62541383","(41.888045958, -87.625413826)"
12490107,JE382792,22/09/2021 04:40:00,002XX N WABASH AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,HOTEL / MOTEL,FALSE,FALSE,111,1,42,32,02,1176777,1901808,2021,29/09/2021 15:41:20,"41,8859081","-87,62628943","(41.885908101, -87.626289429)"
11647156,JC214800,07/04/2019 02:45:00,0000X W LAKE ST,0291,CRIM SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,SIDEWALK,FALSE,FALSE,111,1,42,32,02,1176122,1901745,2019,14/04/2019 16:04:11,"41,88575001","-87,6286966","(41.88575001, -87.628696601)"
13690763,JH540908,13/12/2024 06:29:00,002XX N DEARBORN ST,0312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,SMALL RETAIL STORE,FALSE,FALSE,111,1,42,32,03,1175901,1901839,2024,17/05/2025 15:40:52,"41,88601293","-87,62950532","(41.886012928, -87.629505318)"
12476567,JE366258,08/09/2021 16:20:00,0000X E LAKE ST,0312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,CONVENIENCE STORE,FALSE,FALSE,111,1,42,32,03,1176905,1901744,2021,15/09/2021 15:40:24,"41,88572959","-87,62582133","(41.885729587, -87.625821329)"
11086640,JA429858,12/09/2017 22:56:00,0000X E WACKER DR,031A,ROBBERY,ARMED: HANDGUN,ALLEY,FALSE,FALSE,111,1,42,32,03,1176429,1902142,2017,10/02/2018 15:50:01,"41,88683248","-87,62755726","(41.886832476, -87.627557257)"
2611661,HJ212483,01/03/2003 15:55:22,005XX W MADISON ST,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,111,1,42,28,03,1173039,1900311,2003,28/02/2018 15:56:25,"41,88188393","-87,64006044","(41.881883933, -87.640060441)"
10566155,HZ313763,19/06/2016 01:00:00,0000X E WASHINGTON ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,111,1,42,32,03,1176748,1900829,2016,10/02/2018 15:50:01,"41,88322233","-87,62642554","(41.883222328, -87.626425537)"
8995270,HW142609,03/02/2013 12:17:00,001XX N STATE ST,0320,ROBBERY,STRONGARM - NO WEAPON,DEPARTMENT STORE,TRUE,FALSE,111,1,42,32,03,1176352,1900927,2013,10/02/2018 15:50:01,"41,88350019","-87,6278767","(41.883500187, -87.627876698)"
7955740,HT187655,04/03/2011 00:45:00,002XX S CANAL ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,111,1,2,28,03,1173178,1899212,2011,10/02/2018 15:50:01,"41,87886512","-87,63958266","(41.878865124, -87.639582661)"
13473138,JH279115,26/05/2024 00:45:00,001XX N DEARBORN ST,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA STATION,FALSE,FALSE,111,1,34,32,03,1175928,1900967,2024,17/05/2025 15:40:52,"41,8836195","-87,62943244","(41.883619503, -87.629432435)"
11034379,JA367323,28/07/2017 04:45:00,001XX N WABASH AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,111,1,42,32,03,1176791,1901351,2017,10/02/2018 15:50:01,"41,88465375","-87,62625185","(41.884653752, -87.626251847)"
11154951,JA519520,20/11/2017 15:27:00,0000X E RANDOLPH ST,0320,ROBBERY,STRONGARM - NO WEAPON,ALLEY,FALSE,FALSE,111,1,42,32,03,1176485,1901290,2017,10/02/2018 15:50:01,"41,88449328","-87,62737735","(41.884493278, -87.627377352)"
8393939,HT626647,10/12/2011 20:45:00,002XX S CANAL ST,0320,ROBBERY,STRONGARM - NO WEAPON,OTHER COMMERCIAL TRANSPORTATION,FALSE,FALSE,111,1,2,28,03,1173177,1899236,2011,10/02/2018 15:50:01,"41,878931","-87,63958562","(41.878931004, -87.639585621)"
11129816,JA486073,25/10/2017 21:00:00,0000X E LAKE ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,111,1,42,32,03,1176441,1901747,2017,10/02/2018 15:50:01,"41,8857483","-87,62752512","(41.885748304, -87.627525121)"
2436474,HH756255,03/11/2002 11:58:07,002XX S CLINTON ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,111,1,2,28,03,1172763,1899306,2002,28/02/2018 15:56:25,"41,87913226","-87,64110367","(41.879132261, -87.641103666)"
2692920,HJ316208,21/04/2003 18:30:00,006XX W VAN BUREN ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,111,1,2,28,03,1172230,1898425,2003,28/02/2018 15:56:25,"41,87672652","-87,64308675","(41.876726518, -87.643086748)"
12140921,JD338406,19/08/2020 20:00:00,002XX N CLARK ST,0320,ROBBERY,STRONG ARM - NO WEAPON,ALLEY,FALSE,FALSE,111,1,42,32,03,1175499,1901809,2020,26/08/2020 15:42:14,"41,88593964","-87,63098244","(41.885939644, -87.630982436)"
10401847,HZ138492,03/02/2016 01:30:00,001XX N STATE ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,111,1,42,32,03,1176344,1901149,2016,10/02/2018 15:50:01,"41,88410955","-87,62789937","(41.884109548, -87.627899373)"
12979082,JG148134,10/02/2023 19:00:00,001XX N STATE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA PLATFORM,FALSE,FALSE,111,1,42,32,03,1176330,1901649,2023,19/08/2023 15:40:26,"41,88548189","-87,62793569","(41.885481891, -87.627935689)"
12535782,JE438904,09/11/2021 04:42:00,0000X E LAKE ST,0325,ROBBERY,VEHICULAR HIJACKING,STREET,FALSE,FALSE,111,1,42,32,03,1176575,1901750,2021,16/11/2021 15:43:01,"41,88575351","-87,62703296","(41.885753511, -87.627032961)"
11300418,JB242878,29/04/2018 17:05:00,0000X E RANDOLPH ST,0330,ROBBERY,AGGRAVATED,SMALL RETAIL STORE,FALSE,FALSE,111,1,42,32,03,1176883,1901295,2018,06/05/2018 15:50:33,"41,88449801","-87,62591571","(41.884498005, -87.625915709)"
